Location,lat,lon,CowTagID,Tide,Day_Night,Season,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,NNP_umolL,Ammonia_umolL
Varari,-17.54050802,-149.89978,V19,High,Night,Dry,36.27,26.74,2326.363311,8.047760208757431,0.2,0.7,0.33,1.65,0.44
Varari,-17.54050802,-149.89978,V19,Low,Night,Dry,36.52,27.95,2317.13505,8.09779178367134,0.22,1.1,0.38,1.7272727272727273,0.15
Varari,-17.54050802,-149.89978,V19,Low,Day,Dry,36.63,27.03,2369.352141,8.04369093087045,0.19,1.29,0.23,1.2105263157894737,0.14
Varari,-17.54045103,-149.899509,V20,High,Day,Dry,36.29,27.69,2345.449179,8.062491473992123,0.2,1.77,0.46,2.3,0.26
Varari,-17.54045103,-149.899509,V20,High,Night,Dry,36.39,27.01,2322.825798,8.046245757719845,0.19,0.75,0.38,2,0.43
Varari,-17.54045103,-149.899509,V20,Low,Night,Dry,36.48,28.33,2316.749816,8.076786968432812,0.27,1.88,0.61,2.259259259259259,0.22
Varari,-17.54045103,-149.899509,V20,Low,Day,Dry,36.53,27.16,2363.766285,8.021213679401516,0.19,1.07,0.32,1.6842105263157894,0.23
Varari,-17.540302,-149.899331,VSEEP,Low,Night,Dry,29.44,27,2833.929859,7.743361952307488,1.07,164.27,12.7,11.869158878504672,1.1
Varari,-17.540302,-149.899331,VSEEP,Low,Night,Dry,36.07,27.62,2388.442656,7.877819175317722,0.27,3.97,0.9,3.333333333333333,0.24
Varari,-17.540302,-149.899331,VSEEP,Low,Day,Dry,34.06,26.55,2570.178384,7.894333337752248,0.52,62.53,4.08,7.846153846153846,0.41
Varari,-17.540302,-149.899331,VSEEP,Low,Night,Dry,33.84,26.97,2526.410657,8.003793278792589,0.43,61.8,4.15,9.651162790697676,0.58
Varari,-17.540302,-149.899331,VSEEP,High,Night,Dry,35.86,26.47,2381.156393,8.037784458218706,0.2,3.03,0.35,1.7499999999999998,0.4
Varari,-17.540302,-149.899331,VSEEP,Mid,Night,Dry,36.05,26.35,2355.901122,7.987617269819688,0.25,6.11,0.64,2.56,0.44
Varari,-17.540302,-149.899331,VSEEP,Low,Day,Dry,33.65,26.1,2570.64039,7.881105531755006,0.51,79.11,4.33,8.490196078431373,0.43
Varari,-17.540302,-149.899331,VSEEP,Mid,Day,Dry,34.93,26.08,2458.693077,7.955609702088455,0.33,41.25,1.99,6.03030303030303,0.27
Varari,-17.540302,-149.899331,VSEEP,High,Day,Dry,36.17,27.84,2361.47628,8.025575731104356,0.22,5.16,0.4,1.8181818181818183,0.43
Varari,-17.540302,-149.899331,VSEEP,Mid,Day,Dry,36.01,26.56,2402.134778,7.999342159218451,0.2,3.66,0.65,3.25,0.39
Varari,-17.540302,-149.899331,VSEEP,Mid,Night,Wet,36.14,28.06,2400.851448,7.8661953054164115,0.383899929,13.57040172,1.167942082,3.0423086689343983,0.968492842
Varari,-17.540302,-149.899331,VSEEP,Low,Day,Wet,16.89,27.08,3307.054725,7.119799140385449,2.347925434,401.7660016,14.47512447,6.1650699210407724,1.516705395
Varari,-17.53975298,-149.900506,V1,Low,Day,Wet,36.64,28.53,2357.33632,7.904822909610202,0.157620727,1.323530762,0.499259483,3.1674735455318643,0.828499422
Varari,-17.53989003,-149.900519,V2,Low,Day,Wet,36.54,28.6,2350.56917,7.9252367683307154,0.157527914,1.782810054,0.342611639,2.1749265276248124,0.583375924
Varari,-17.54012598,-149.90056,V3,Low,Day,Wet,36.43,28.66,2354.77823,7.917425625901645,0.155996492,3.033281857,0.287992195,1.8461453287039302,0.411099409
Varari,-17.54024902,-149.900454,V4,Low,Day,Wet,36.57,28.73,2353.46016,7.961419448531052,0.135763159,1.174706274,0.198672279,1.4633740144482055,0.408759185
Varari,-17.54025003,-149.900336,V5,Low,Day,Wet,36.57,28.73,2349.12491,7.951506815673104,0.142770574,1.111715444,0.183710517,1.2867533683796772,0.421300387
Varari,-17.54002498,-149.900106,V6,Low,Day,Wet,36.43,28.51,2405.71887,7.91622854131028,0.18040643,3.862199646,0.534681004,2.9637580212634327,0.298948658
Varari,-17.54004803,-149.899985,V7,Low,Day,Wet,36.32,28.72,2357.65494,7.913070487026856,0.166391599,5.850910131,0.479520773,2.8818809115477038,0.224841554
Varari,-17.54014903,-149.899896,V8,Low,Day,Wet,36.57,28.77,2346.99021,7.930211620385833,0.158502455,2.253510761,0.264828503,1.6708164110139494,0.342932874
Varari,-17.540245,-149.899765,V9,Low,Day,Wet,36.52,28.86,2345.93894,7.93202266004098,0.145879825,1.136980996,0.218591251,1.4984337347539318,0.264385345
Varari,-17.54030501,-149.899788,V10,Low,Day,Wet,36.61,28.93,2342.2794,7.946069500813496,0.142028067,1.068798615,0.148829783,1.0478899427674389,0.28052689200000003
Varari,-17.54019303,-149.900068,V11,Low,Day,Wet,36.59,28.63,2339.92433,7.946833198871749,0.152887241,1.067414201,0.540719787,3.5367227733542523,0.294148198
Varari,-17.54030996,-149.900112,V12,Low,Day,Wet,36.5,28.72,2339.26347,7.955646476205496,0.140682272,1.077105098,0.156400795,1.111730659283069,0.216320737
Varari,-17.540749,-149.899133,V13,Low,Day,Wet,36.38,28.76,2338.52036,7.932415829182265,0.148014535,1.359525522,0.288713243,1.950573590627434,1.689881996
Varari,-17.54039696,-149.899396,V14,Low,Day,Wet,36.51,28.62,2354.98,7.915014660600744,0.150984565,2.995210477,0.174607276,1.1564577875890825,0.236122635
Varari,-17.54014299,-149.900183,V15,Low,Day,Wet,36.58,28.72,2337.6736,7.937086860496725,0.154511476,1.619795324,0.235175373,1.5220576431487844,0.180377291
Varari,-17.54029797,-149.900492,V16,Low,Day,Wet,36.59,28.83,2343.51614,7.969967911440918,0.149545957,1.469932526,0.087811031,0.587184252664216,0.387457142
Varari,-17.54031901,-149.899572,V17,Low,Day,Wet,36.55,28.46,2351.13,7.921680295036358,0.141331966,2.499244218,0.212372205,1.5026480633546129,0.229522002
Varari,-17.54019697,-149.899906,V18,Low,Day,Wet,36.58,28.77,2329.31,7.934220317717556,0.14680796,1.228006207,0.163340889,1.1126160257250357,0.20497965
Varari,-17.54050802,-149.89978,V19,Low,Day,Wet,36.61,28.76,2339.42731,7.96504584109968,0.128245269,1.185435481,0.102682662,0.8006740739886474,0.950458716
Varari,-17.54045103,-149.899509,V20,Low,Day,Wet,36.61,28.62,2323.8225,7.930857651646049,0.148710635,1.495544182,0.193354544,1.3002065655896096,0.198319011
Varari,-17.540302,-149.899331,VSEEP,Mid,Day,Wet,35.9,29.59,2378.216542,7.979474826636599,0.267007267,12.01880453,1.06687617,3.9956821474825253,0.41918427
Varari,-17.540302,-149.899331,VSEEP,High,Day,Wet,36.45,29.37,2338.527293,8.019435671518288,0.16495299,4.051172135,0.353787894,2.144780121900185,0.244163406
Varari,-17.53975298,-149.900506,V1,High,Day,Wet,36.6,29.3,2333.14574,8.033556118392447,0.143281048,1.232851655,0.154868566,1.0808726496752035,0.230482094
Varari,-17.53989003,-149.900519,V2,High,Day,Wet,36.57,29.32,2335.686567,8.039916817974959,0.147550467,1.036264889,0.342431376,2.3207745997848996,0.226041669
Varari,-17.54012598,-149.90056,V3,High,Day,Wet,36.57,29.31,2338.368209,8.046582442335957,0.112838235,0.940740334,0.17487767,1.5498086264819724,0.223401416
Varari,-17.54024902,-149.900454,V4,High,Day,Wet,36.55,29.33,2346.684173,8.05021091697143,0.128152455,0.853522262,0.184071041,1.436344243268691,0.328291471
Varari,-17.54025003,-149.900336,V5,High,Day,Wet,36.58,29.37,2321.775911,8.047674164660059,0.116086706,0.891247539,0.255725262,2.202881542697921,0.252924246
Varari,-17.54002498,-149.900106,V6,High,Day,Wet,36.58,29.29,2335.810823,8.030438955976145,0.141610406,1.678632912,0.134498939,0.9497814659185428,0.237622779
Varari,-17.54004803,-149.899985,V7,High,Day,Wet,36.58,29.48,2332.53922,8.024370259620593,0.148432195,2.091534341,0.168388231,1.1344454685184708,0.179777234
Varari,-17.54014903,-149.899896,V8,High,Day,Wet,36.56,29.43,2329.224197,8.031922299916777,0.145415758,1.411441041,0.256085787,1.7610593963275973,0.170716365
Varari,-17.540245,-149.899765,V9,High,Day,Wet,36.6,29.45,2330.358812,8.035633837371513,0.131586553,1.126597893,0.163160627,1.2399490926705863,0.167896095
Varari,-17.54030501,-149.899788,V10,High,Day,Wet,36.56,29.51,2329.516085,8.041790621002262,0.132885942,1.241850345,0.073660449,0.5543133298479384,0.334172034
Varari,-17.54019303,-149.900068,V11,High,Day,Wet,36.58,29.3,2316.6125,8.042885776740297,0.130612012,0.977081198,0.122511503,0.9379803673799926,0.161655497
Varari,-17.54030996,-149.900112,V12,High,Day,Wet,36.58,29.38,2331.692517,8.04805275096319,0.131215299,0.909244919,0.111785903,0.8519273579523681,0.236962716
Varari,-17.540749,-149.899133,V13,High,Day,Wet,36.6,29.43,2329.262897,8.034910979849021,0.134742211,1.410056627,0.198672279,1.4744620674214706,0.300688825
Varari,-17.54039696,-149.899396,V14,High,Day,Wet,36.5,29.4,2322.19,8.015432502569347,0.143002608,3.126037585,0.181276977,1.2676480487684532,0.236602681
Varari,-17.54014299,-149.900183,V15,High,Day,Wet,36.56,29.4,2325.725545,8.036101701175365,0.148246568,1.035918786,0.1682981,1.1352579845221105,0.194538649
Varari,-17.54029797,-149.900492,V16,High,Day,Wet,36.55,29.36,2329.885978,8.052399017576992,0.127456354,0.828602813,0.130262777,1.022018698259641,0.235582583
Varari,-17.54031901,-149.899572,V17,High,Day,Wet,36.57,29.28,2329.38,8.021317910894028,0.152980054,2.562235048,0.173705965,1.1354811327233547,0.187577982
Varari,-17.54019697,-149.899906,V18,High,Day,Wet,36.57,28.76,2342.017,8.045124811185318,0.141192746,1.294111968,0.110343805,0.7815118561402581,0.164055727
Varari,-17.54050802,-149.89978,V19,High,Day,Wet,36.52,29.37,2327.860835,8.047307202028277,0.11887111,0.898861816,0.067080879,0.5643160815104695,0.155294887
Varari,-17.54045103,-149.899509,V20,High,Day,Wet,36.59,29.4,2319.514654,8.033626688453257,0.147596874,1.364024867,0.122511503,0.8300413123925646,0.15511487
Varari,-17.540302,-149.899331,VSEEP,Mid,Day,Wet,35.31,28.82,2365.54137,7.889687091764312,0.756406727,30.180599,1.89989671,2.5117395736751558,0.208039943
Varari,-17.540302,-149.899331,VSEEP,Low,Night,Wet,15.12,27.14,3370.869465,7.106500412627895,2.3580421,447.2495465,18.53571555,7.8606380903886315,0.220581145
